LFQ_C37BN	LFQ_C37PN	LFQ_C37PPN	LFQ_C37BS	LFQ_C37PS	LFQ_C37PPS	LFQ_C37BM	LFQ_C37PM	LFQ_C37PPM	LFQ_C37BW3	LFQ_C37PW3	LFQ_C37PPW3	LFQ_C39BN	LFQ_C39PN	LFQ_C39PPN	LFQ_C39BS	LFQ_C39PS	LFQ_C39PPS	LFQ_C39BM	LFQ_C39PM	LFQ_C39PPM	LFQ_C39BW3	LFQ_C39PW3	LFQ_C39PPW3	Only.identified.by.site	Reverse	Potential.contaminant	Peptides	Razor...unique.peptides	Unique.peptides	Sequence.coverage....	Unique...razor.sequence.coverage....	Unique.sequence.coverage....	Mol..weight..kDa.	Q.value	Score	Intensity	MS.MS.count	Protein.IDs	Majority.protein.IDs	Protein.names	Gene.names	id
20.5155696868896	20.6055774688721	NA	20.9140777587891	19.1693515777588	20.5047492980957	20.2056217193604	20.4539260864258	20.8018341064453	20.7870807647705	20.6003227233887	20.1141338348389	20.7287483215332	20.0289096832275	21.1862239837646	21.095645904541	20.1037998199463	20.4453620910645	19.5491485595703	20.5759792327881	21.9633865356445	20.6103610992432	21.493408203125	22.189001083374				9	9	9	29.8	29.8	29.8	44.022	0	73.991	154680000	57	A0A087WSY5;Q96IY4;A0A6Q8PHS9;A0A6Q8PG06;CON__Q2KIG3	A0A087WSY5;Q96IY4	Carboxypeptidase B2	CPB2	4
21.6094608306885	22.0559635162354	NA	21.0101776123047	22.1646900177002	21.3737964630127	21.6993923187256	21.8778495788574	22.6143665313721	21.6202869415283	23.0189800262451	22.9962100982666	20.3453788757324	NA	21.3972301483154	21.4650821685791	22.9359264373779	19.0432147979736	23.2738380432129	20.1174354553223	18.4122886657715	17.7449779510498	NA	18.1923885345459				9	9	9	88.7	88.7	88.7	12.633	0	283.76	401390000	180	A0A087WT59;P02766	A0A087WT59;P02766	Transthyretin	TTR	5
21.236255645752	20.5424575805664	NA	20.7131385803223	20.5808620452881	19.937328338623	20.5031967163086	20.1947231292725	20.9869022369385	20.8029384613037	20.9529056549072	20.3237762451172	20.4244976043701	20.0141353607178	21.2068138122559	20.4651317596436	22.6090545654297	20.2078857421875	22.9083728790283	20.412971496582	20.6238174438477	19.8237342834473	21.0935859680176	20.71044921875				5	5	5	29.3	29.3	29.3	25.402	0	20.258	190150000	93	A0A087X1J7;P22352;H0YBE4;E5RG32;H0YC19	A0A087X1J7;P22352	Glutathione peroxidase;Glutathione peroxidase 3	GPX3	11
NA	20.1984443664551	NA	19.9771518707275	19.5005531311035	20.2773056030273	20.4130744934082	20.4482898712158	20.385534286499	21.0338230133057	19.5482273101807	20.1570911407471	20.2662506103516	21.9553565979004	19.7727375030518	20.7645797729492	NA	20.558895111084	18.7618885040283	20.4023914337158	20.2677383422852	21.1115894317627	19.740291595459	20.4350185394287				12	12	12	27.4	27.4	27.4	75.905	0	111.42	214570000	132	A0A087X232;P09871;F8WCZ6;H0Y5D1;F5H7T4;B5MCV4	A0A087X232;P09871;F8WCZ6	Complement C1s subcomponent;Complement C1s subcomponent heavy chain;Complement C1s subcomponent light chain	C1S	12
25.9293117523193	26.016185760498	23.2195129394531	24.3466510772705	25.8591327667236	24.0534954071045	23.3042411804199	24.2508983612061	25.4111881256104	24.4939937591553	26.1772346496582	25.6919498443604	24.6884841918945	23.3071632385254	26.7845668792725	24.3705940246582	26.4788341522217	24.0152072906494	27.3968906402588	23.4563846588135	22.7622089385986	22.3727340698242	24.8711719512939	21.8478927612305				10	10	8	44.7	44.7	31.2	23.353	0	323.31	5464900000	530	A0A096LPE2;P35542;A0A3B3ISW8;E9PR14;G3V1D9;P0DJI9	A0A096LPE2;P35542	Serum amyloid A-4 protein	SAA2-SAA4;SAA4	13
23.7890510559082	24.0675964355469	NA	24.0947456359863	23.9141521453857	24.1596183776855	24.1226577758789	24.0431003570557	24.0149517059326	24.4490966796875	23.6100921630859	24.7198371887207	23.5688304901123	24.7476558685303	23.6050109863281	23.6531600952148	21.3334178924561	23.9798049926758	22.1891822814941	23.6731433868408	23.7078838348389	24.1689033508301	23.3345642089844	23.6999645233154				14	14	7	54.2	54.2	30.3	36.105	0	323.31	2612800000	418	P01857;A0A0A0MS08;A0A0A0MS07	P01857;A0A0A0MS08;A0A0A0MS07	Ig gamma-1 chain C region	IGHG1	16
20.7464065551758	20.7487010955811	NA	21.1082744598389	20.6005954742432	19.9050998687744	20.3926773071289	21.0842056274414	20.7366962432861	21.0502605438232	NA	20.3980121612549	20.4325752258301	21.1937007904053	21.0677604675293	20.175968170166	NA	20.641300201416	NA	19.9810600280762	NA	20.2063369750977	20.5952320098877	19.3500709533691				7	7	7	31.6	31.6	31.6	24.03	0	69.72	163290000	84	A0A0A0MSV6;D6R934;P02746;D6RGJ1	A0A0A0MSV6;D6R934;P02746	Complement C1q subcomponent subunit B	C1QB	17
19.5213508605957	19.7164249420166	NA	19.6359272003174	19.7763080596924	19.0564517974854	19.2829704284668	19.5229034423828	19.9989318847656	20.3994731903076	20.318489074707	20.6570053100586	19.7622947692871	20.2725296020508	20.2933368682861	20.1043128967285	NA	19.7075214385986	19.2896728515625	19.7109870910645	20.0500602722168	20.1423320770264	21.525447845459	20.6693420410156				19	19	19	35.8	35.8	35.8	54.611	0	88.516	342390000	176	A0A0A0MTH3;Q13418;A0A087WWY6;E9PQ52;A0A087WW45	A0A0A0MTH3;Q13418	Integrin-linked protein kinase	ILK	18
22.0130786895752	21.7487010955811	NA	21.4784259796143	21.2759418487549	21.1989841461182	21.6545581817627	21.0803718566895	22.0695629119873	21.2903594970703	21.3882694244385	21.9825572967529	21.6484279632568	NA	22.324764251709	21.0507926940918	22.0332527160645	18.5602207183838	22.3406066894531	21.3477058410645	NA	20.2258796691895	21.7051429748535	20.2628154754639				9	4	4	40.5	20.5	20.5	23.15	0	35.322	186380000	135	A0A0B4J231;B9A064;A0A5H1ZRQ4;P0CG04	A0A0B4J231;B9A064;A0A5H1ZRQ4;P0CG04	Immunoglobulin lambda-like polypeptide 5;Ig lambda-1 chain C regions	IGLL5;IGLC1	21
20.287712097168	20.6707248687744	NA	NA	20.3455963134766	20.5962333679199	20.8328304290771	20.8044376373291	20.5021286010742	21.0020275115967	20.6085586547852	21.5923137664795	20.209077835083	21.4148292541504	20.5669059753418	21.4679203033447	NA	20.2863597869873	NA	21.1043758392334	21.1150875091553	21.6187191009521	20.2402782440186	20.8327541351318				3	2	1	40.6	31.2	19.8	10.429	0	323.31	137460000	90	S4R460;A0A0B4J2B5;A0A4W8ZXM2	S4R460;A0A0B4J2B5		IGHV3OR16-9	22
